Month,Actual,Holt-Winters,SARIMA,Prophet,Theta,LightGBM,Ensemble (Top-3),Error_Best
Aug 2025,59.0,44.5,42.2,35.3,42.2,47.6,40.6,23.7
Sep 2025,37.0,44.8,42.2,34.0,42.2,45.0,40.3,3.0
Oct 2025,35.0,42.3,42.2,30.8,42.3,44.5,38.4,4.2
Nov 2025,27.0,39.6,42.2,28.2,42.3,44.1,36.7,-1.2
Dec 2025,31.0,42.2,42.2,32.1,42.3,43.9,38.8,-1.1
Jan 2026,22.0,41.3,42.2,28.5,42.4,44.3,37.3,-6.5
